day,new_cases
0,1
1,3
2,3
3,2
4,10
5,9
6,14
7,15
8,24
9,21
10,32
11,47
12,61
13,75
14,107
15,149
16,172
17,237
18,300
19,405
20,457
21,539
22,597
23,658
24,733
25,638
26,596
27,527
28,449
29,387
30,348
31,278
32,212
33,174
34,98
35,121
36,82
37,75
38,54
39,43
40,35
41,30
42,32
43,19
44,18
45,11
46,6
47,9
48,6
49,5
50,5
51,3
52,1
53,1
54,2
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,1
63,2
64,0
65,0
66,0
67,0
68,0
69,0
70,1
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
